Entry_date_time,Future_price,ATM,Days_to_expiry,CE_symbol,CE_entry_price,CE_exit_price,CE_exit_datetime,CE_pnl,PE_symbol,PE_entry_price,PE_exit_price,PE_exit_datetime,PE_pnl,Total_pnl
2019-01-01 09:20:00,27260.0,27300,2,BANKNIFTY03JAN1927300CE.NFO,100.0,120.0,2019-01-01 14:31:00,-20.0,BANKNIFTY03JAN1927300PE.NFO,225.6,270.72,2019-01-01 09:54:00,-45.12000000000003,-65.12000000000003
2019-01-02 09:20:00,27427.0,27400,1,BANKNIFTY03JAN1927400CE.NFO,99.05,0.0,,33.05,BANKNIFTY03JAN1927400PE.NFO,157.55,189.06,2019-01-02 09:35:00,-31.50999999999999,1.5400000000000063
2019-01-03 09:20:00,27241.1,27200,0,BANKNIFTY03JAN1927200CE.NFO,48.1,57.72,2019-01-03 09:38:00,-9.619999999999997,BANKNIFTY03JAN1927200PE.NFO,135.3,0.0,,29.000000000000014,19.380000000000017
2019-01-04 09:20:00,27177.3,27200,6,BANKNIFTY10JAN1927200CE.NFO,179.6,0.0,,47.099999999999994,BANKNIFTY10JAN1927200PE.NFO,283.05,339.66,2019-01-04 09:45:00,-56.610000000000014,-9.51000000000002
2019-01-07 09:20:00,27508.2,27500,3,BANKNIFTY10JAN1927500CE.NFO,137.75,0.0,,38.75,BANKNIFTY10JAN1927500PE.NFO,204.0,244.8,2019-01-07 14:45:00,-40.80000000000001,-2.0500000000000114
2019-01-08 09:20:00,27327.65,27300,2,BANKNIFTY10JAN1927300CE.NFO,110.3,132.36,2019-01-08 09:49:00,-22.060000000000016,BANKNIFTY10JAN1927300PE.NFO,199.5,0.0,,30.849999999999994,8.789999999999978
2019-01-09 09:20:00,27709.45,27700,1,BANKNIFTY10JAN1927700CE.NFO,81.85,0.0,,19.549999999999997,BANKNIFTY10JAN1927700PE.NFO,167.6,201.12,2019-01-09 10:05:00,-33.52000000000001,-13.970000000000013
2019-01-10 09:20:00,27702.45,27700,0,BANKNIFTY10JAN1927700CE.NFO,44.15,0.0,,19.65,BANKNIFTY10JAN1927700PE.NFO,120.15,144.18,2019-01-10 09:37:00,-24.03,-4.380000000000003
2019-01-11 09:20:00,27665.5,27700,6,BANKNIFTY17JAN1927700CE.NFO,172.1,0.0,,46.099999999999994,BANKNIFTY17JAN1927700PE.NFO,259.0,310.8,2019-01-11 10:44:00,-51.80000000000001,-5.700000000000017
2019-01-14 09:20:00,27397.9,27400,3,BANKNIFTY17JAN1927400CE.NFO,141.3,0.0,,22.80000000000001,BANKNIFTY17JAN1927400PE.NFO,221.9,0.0,,5.900000000000006,28.700000000000017
2019-01-15 09:20:00,27437.6,27400,2,BANKNIFTY17JAN1927400CE.NFO,138.1,165.72,2019-01-15 11:30:00,-27.620000000000005,BANKNIFTY17JAN1927400PE.NFO,160.35,0.0,,50.25,22.629999999999995
2019-01-16 09:20:00,27537.0,27500,1,BANKNIFTY17JAN1927500CE.NFO,99.3,119.16,2019-01-16 09:30:00,-19.86,BANKNIFTY17JAN1927500PE.NFO,127.25,0.0,,34.95,15.090000000000003
2019-01-17 09:20:00,27581.15,27600,0,BANKNIFTY17JAN1927600CE.NFO,26.0,0.0,,10.45,BANKNIFTY17JAN1927600PE.NFO,98.5,118.2,2019-01-17 10:30:00,-19.700000000000003,-9.250000000000004
2019-01-18 09:20:00,27615.0,27600,6,BANKNIFTY24JAN1927600CE.NFO,166.05,0.0,,20.30000000000001,BANKNIFTY24JAN1927600PE.NFO,207.45,248.94,2019-01-18 09:28:00,-41.49000000000001,-21.189999999999998
2019-01-21 09:20:00,27460.65,27500,3,BANKNIFTY24JAN1927500CE.NFO,151.3,181.56,2019-01-21 09:40:00,-30.25999999999999,BANKNIFTY24JAN1927500PE.NFO,202.45,0.0,,48.14999999999998,17.889999999999986
2019-01-22 09:20:00,27507.9,27500,2,BANKNIFTY24JAN1927500CE.NFO,141.45,0.0,,-1.4000000000000057,BANKNIFTY24JAN1927500PE.NFO,176.25,0.0,,34.69999999999999,33.29999999999998
2019-01-23 09:20:00,27547.55,27500,1,BANKNIFTY24JAN1927500CE.NFO,148.0,0.0,,66.1,BANKNIFTY24JAN1927500PE.NFO,107.1,128.51999999999998,2019-01-23 14:29:00,-21.419999999999987,44.68000000000001
2019-01-24 09:20:00,27288.0,27300,0,BANKNIFTY24JAN1927300CE.NFO,36.8,0.0,,8.299999999999997,BANKNIFTY24JAN1927300PE.NFO,91.45,109.74000000000001,2019-01-24 09:24:00,-18.290000000000006,-9.990000000000009
2019-01-25 09:20:00,27435.0,27400,6,BANKNIFTY31JAN1927400CE.NFO,224.35,0.0,,51.900000000000006,BANKNIFTY31JAN1927400PE.NFO,165.2,198.23999999999998,2019-01-25 13:36:00,-33.03999999999999,18.860000000000014
2019-01-28 09:20:00,27090.0,27100,3,BANKNIFTY31JAN1927100CE.NFO,204.0,0.0,,31.80000000000001,BANKNIFTY31JAN1927100PE.NFO,182.0,218.4,2019-01-28 09:34:00,-36.400000000000006,-4.599999999999994
